USER       PID COMMAND
root         1 /sbin/init splash
root         2 [kthreadd]
root         4 [kworker/0:0H]
root         5 [kworker/u8:0]
root         6 [mm_percpu_wq]
root         7 [ksoftirqd/0]
root         8 [rcu_sched]
root         9 [rcu_bh]
root        10 [migration/0]
root        11 [watchdog/0]
root        12 [cpuhp/0]
root        13 [cpuhp/1]
root        14 [watchdog/1]
root        15 [migration/1]
root        16 [ksoftirqd/1]
root        18 [kworker/1:0H]
root        19 [cpuhp/2]
root        20 [watchdog/2]
root        21 [migration/2]
root        22 [ksoftirqd/2]
root        24 [kworker/2:0H]
root        25 [cpuhp/3]
root        26 [watchdog/3]
root        27 [migration/3]
root        28 [ksoftirqd/3]
root        29 [kworker/3:0]
root        30 [kworker/3:0H]
root        31 [kdevtmpfs]
root        32 [netns]
root        33 [kworker/0:1]
root        34 [kworker/1:1]
root        35 [kworker/2:1]
root        36 [khungtaskd]
root        37 [oom_reaper]
root        38 [writeback]
root        39 [kcompactd0]
root        40 [ksmd]
root        41 [khugepaged]
root        42 [crypto]
root        43 [kintegrityd]
root        44 [kblockd]
root        45 [kworker/3:1]
root        46 [ata_sff]
root        47 [md]
root        48 [edac-poller]
root        49 [devfreq_wq]
root        50 [watchdogd]
root        51 [kworker/u8:1]
root        53 [kauditd]
root        54 [kswapd0]
root        55 [ecryptfs-kthrea]
root        97 [kthrotld]
root        98 [acpi_thermal_pm]
root       103 [ipv6_addrconf]
root       124 [kworker/u8:3]
root       133 [charger_manager]
root       162 [kworker/2:2]
root       179 [kworker/2:3]
root       180 [scsi_eh_0]
root       181 [scsi_tmf_0]
root       182 [scsi_eh_1]
root       183 [scsi_tmf_1]
root       184 [i915/signal:0]
root       185 [i915/signal:1]
root       186 [i915/signal:2]
root       187 [i915/signal:4]
root       190 [kworker/0:1H]
root       191 [kworker/2:1H]
root       211 [jbd2/sda4-8]
root       212 [ext4-rsv-conver]
root       243 [kworker/3:1H]
root       245 /lib/systemd/systemd-journald
root       261 [kworker/1:2]
root       264 [kworker/0:2]
root       265 /lib/systemd/systemd-udevd
root       280 [loop0]
root       283 [loop1]
root       285 [kworker/1:1H]
root       287 [loop2]
root       291 [loop3]
root       308 [loop4]
root       309 [loop5]
root       315 [irq/128-mei_me]
root       345 [kworker/u9:0]
root       346 [kworker/u9:1]
root       347 [cfg80211]
root       374 [ath10k_wq]
root       375 [ath10k_aux_wq]
root       380 [kworker/u8:4]
root       395 [kmemstick]
root       396 [rtsx_usb_ms_1]
message+   711 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       714 /usr/sbin/cron -f
avahi      716 avahi-daemon: running [jainebudke.local]
syslog     717 /usr/sbin/rsyslogd -n
root       719 /usr/sbin/thermald --no-daemon --dbus-enable
root       720 /usr/lib/udisks2/udisksd
root       722 /usr/lib/bluetooth/bluetoothd
root       723 /usr/sbin/NetworkManager --no-daemon
root       734 /usr/sbin/irqbalance --foreground
root       738 /lib/systemd/systemd-logind
