USER       PID COMMAND                      MINFL
root         1 /sbin/init splash            15760
root         2 [kthreadd]                       0
root         4 [kworker/0:0H]                   0
root         6 [mm_percpu_wq]                   0
root         7 [ksoftirqd/0]                    0
root         8 [rcu_sched]                      0
root         9 [rcu_bh]                         0
root        10 [migration/0]                    0
root        11 [watchdog/0]                     0
root        12 [cpuhp/0]                        0
root        13 [cpuhp/1]                        0
root        14 [watchdog/1]                     0
root        15 [migration/1]                    0
root        16 [ksoftirqd/1]                    0
root        18 [kworker/1:0H]                   0
root        19 [cpuhp/2]                        0
root        20 [watchdog/2]                     0
root        21 [migration/2]                    0
root        22 [ksoftirqd/2]                    0
root        24 [kworker/2:0H]                   0
root        25 [cpuhp/3]                        0
root        26 [watchdog/3]                     0
root        27 [migration/3]                    0
root        28 [ksoftirqd/3]                    0
root        30 [kworker/3:0H]                   0
root        31 [kdevtmpfs]                      0
root        32 [netns]                          0
root        33 [kworker/0:1]                    0
root        37 [khungtaskd]                     0
root        38 [oom_reaper]                     0
root        39 [writeback]                      0
root        40 [kcompactd0]                     0
root        41 [ksmd]                           0
root        42 [khugepaged]                     0
root        43 [crypto]                         0
root        44 [kintegrityd]                    0
root        45 [kblockd]                        0
root        46 [ata_sff]                        0
root        47 [md]                             0
root        48 [edac-poller]                    0
root        49 [devfreq_wq]                     0
root        50 [watchdogd]                      0
root        53 [kauditd]                        0
root        54 [kswapd0]                        0
root        55 [ecryptfs-kthrea]                0
root        97 [kthrotld]                       0
root        98 [acpi_thermal_pm]                0
root       103 [ipv6_addrconf]                  0
root       133 [charger_manager]                0
root       179 [scsi_eh_0]                      0
root       180 [scsi_tmf_0]                     0
root       181 [scsi_eh_1]                      0
root       182 [scsi_tmf_1]                     0
root       184 [i915/signal:0]                  0
root       185 [i915/signal:1]                  0
root       186 [i915/signal:2]                  0
root       187 [i915/signal:4]                  0
root       191 [kworker/2:1H]                   0
root       192 [kworker/0:1H]                   0
root       215 [jbd2/sda4-8]                    0
root       216 [ext4-rsv-conver]                0
root       246 [kworker/3:1H]                   0
root       248 [kworker/1:1H]                   0
root       256 /lib/systemd/systemd-journa   1043
root       268 /lib/systemd/systemd-udevd    4398
root       290 [loop0]                          0
root       293 [loop1]                          0
root       300 [loop2]                          0
root       301 [loop3]                          0
root       302 [loop4]                          0
root       303 [loop5]                          0
root       322 [cfg80211]                       0
root       324 [ath10k_wq]                      0
root       325 [ath10k_aux_wq]                  0
root       377 [kmemstick]                      0
root       382 [rtsx_usb_ms_1]                  0
root       704 /usr/sbin/cron -f              420
syslog     706 /usr/sbin/rsyslogd -n          534
avahi      707 avahi-daemon: running [jain    331
root       709 /usr/sbin/thermald --no-dae    463
root       710 /usr/lib/udisks2/udisksd      1121
message+   715 /usr/bin/dbus-daemon --syst    766
avahi      716 avahi-daemon: chroot helper     43
root       738 /usr/lib/bluetooth/bluetoot    326
root       739 /usr/sbin/irqbalance --fore    239
root       740 /usr/sbin/acpid                141
root       746 /usr/sbin/ModemManager         792
root       747 /usr/lib/accountsservice/ac    903
root       748 /usr/sbin/NetworkManager --   2909
root       749 /lib/systemd/systemd-logind    458
root       755 /usr/lib/snapd/snapd          8157
root       775 /usr/lib/policykit-1/polkit   3936
postgres   845 /usr/lib/postgresql/9.6/bin   6250
root       871 php-fpm: master process (/e   6381
systemd+   872 /lib/systemd/systemd-resolv    525
root       891 /usr/sbin/gdm3                 999
root       894 /usr/sbin/sshd -D             2433
root       899 gdm-session-worker [pam/gdm    689
mysql      900 /usr/sbin/mysqld             31367
postgres   924 postgres: 9.6/main: checkpo    107
postgres   925 postgres: 9.6/main: writer     109
postgres   926 postgres: 9.6/main: wal wri    103
postgres   927 postgres: 9.6/main: autovac    214
postgres   928 postgres: 9.6/main: stats c    103
root       947 /sbin/wpa_supplicant -u -s     459
www-data   951 php-fpm: pool www               78
www-data   952 php-fpm: pool www               78
gdm       1023 /lib/systemd/systemd --user   1107
root      1041 /usr/sbin/apache2 -k start   12818
gdm       1043 (sd-pam)                        40
gdm       1056 /usr/lib/gdm3/gdm-wayland-s    393
gdm       1069 /usr/bin/dbus-daemon --sess    425
gdm       1071 /usr/lib/gnome-session/gnom   3626
gdm       1110 /usr/bin/gnome-shell         47912
root      1115 /usr/lib/upower/upowerd        653
gdm       1133 /usr/bin/Xwayland :1024 -ro   5843
gdm       1159 /usr/lib/at-spi2-core/at-sp    693
gdm       1164 /usr/bin/dbus-daemon --conf    295
gdm       1166 /usr/lib/at-spi2-core/at-sp    373
gdm       1170 /usr/bin/pulseaudio --daemo   1455
rtkit     1171 /usr/lib/rtkit/rtkit-daemon    263
whoopsie  1180 /usr/bin/whoopsie -f           951
kernoops  1200 /usr/sbin/kerneloops            67
gdm       1224 ibus-daemon --xim --panel d   1117
gdm       1227 /usr/lib/ibus/ibus-dconf       527
gdm       1230 /usr/lib/ibus/ibus-x11 --ki   2505
root      1241 /usr/lib/packagekit/package  15522
gdm       1242 /usr/lib/gnome-settings-dae   2752
gdm       1244 /usr/lib/gnome-settings-dae   2755
gdm       1245 /usr/lib/gnome-settings-dae   2549
